transaction_id,date,customer_id,product_name,category,quantity,base_price,discount_pct,revenue,city,customer_segment,channel
TXN00001,2023-05-21,CUST01906,Nike Air Max 270,Fashion,1,1800000,0.0,2424000.0,Jakarta,Regular,Organic
TXN00002,2023-10-15,CUST03463,Nike Air Max 270,Fashion,1,1800000,0.05,,Bandung,New,Email
TXN00003,2023-04-21,CUST04393,Samsung QLED 55in,Electronics,3,8999000,0.0,32396000.0,Jakarta,New,Email
TXN00004,2023-02-10,CUST02371,Logitech MX Keys,Electronics,1,1350000,0.1,972000.0,Bandung,Loyal,Paid Social
TXN00005,2023-02-21,CUST00585,Somethinc Niacinamide,Beauty,1,99000,0.0,79000.0,Semarang,New,Email
TXN00006,2023-10-01,CUST01877,Uniqlo Heattech L,Fashion,2,299000,0.0,478000.0,Surabaya,Loyal,Paid Social
TXN00007,2023-07-25,CUST03759,IKEA Billy Shelf,Home & Living,1,799000,0.0,1076000.0,Yogyakarta,Loyal,Email
TXN00008,2023-05-07,CUST04043,Samsung QLED 55in,Electronics,2,8999000,0.05,23021000.0,Medan,Occasional,Marketplace
TXN00009,2023-02-26,CUST04533,Xiaomi Redmi 12,Electronics,1,2199000,0.0,1759000.0,Medan,Regular,Marketplace
TXN00010,2023-12-15,CUST02158,Skintific SPF 50+,Beauty,2,129000,0.05,147000.0,Bandung,New,Email
TXN00011,2023-09-17,CUST04345,Somethinc Niacinamide,Beauty,3,99000,0.1,267000.0,Jakarta,Regular,Paid Social
TXN00012,2023-06-15,CUST00646,Emina BB Cream,Beauty,1,75000,0.0,105000.0,Surabaya,Loyal,Email
TXN00013,2023-02-05,CUST01736,Logitech MX Keys,Electronics,3,1350000,0.05,3078000.0,Jakarta,Regular,Paid Social
TXN00014,2023-06-09,CUST04820,Somethinc Niacinamide,Beauty,1,99000,0.05,132000.0,Surabaya,Loyal,Marketplace
TXN00015,2023-04-23,CUST03977,H&M Linen Shirt,Fashion,1,249000,0.1,269000.0,Jakarta,New,Organic
TXN00016,2023-10-20,CUST03826,Samsung QLED 55in,Electronics,1,8999000,0.0,7199000.0,Surabaya,Occasional,Organic
TXN00017,2023-12-11,CUST03457,Skintific SPF 50+,Beauty,1,129000,0.05,74000.0,Jakarta,Regular,Organic
TXN00018,2023-05-08,CUST00765,Logitech MX Keys,Electronics,2,1350000,0.0,3635000.0,Semarang,Loyal,Organic
TXN00019,2023-03-27,CUST03728,Somethinc Niacinamide,Beauty,1,99000,0.0,99000.0,Makassar,Loyal,Paid Social
TXN00020,2023-12-05,CUST04120,JBL Flip 6,Electronics,2,1199000,0.0,1439000.0,Jakarta,Loyal,Organic
TXN00021,2023-03-22,CUST04667,Emina BB Cream,Beauty,1,75000,0.05,71000.0,Makassar,New,Organic
TXN00022,2023-01-21,CUST03243,JBL Flip 6,Electronics,1,1199000,0.0,784000.0,Bandung,Occasional,Email
TXN00023,2023-08-23,CUST02860,Apple AirPods Pro,Electronics,1,3799000,0.1,4103000.0,Jakarta,Occasional,Organic
TXN00024,2023-07-09,CUST00849,Somethinc Niacinamide,Beauty,1,99000,0.0,133000.0,Bandung,Occasional,Organic
TXN00025,2023-05-16,CUST02163,Somethinc Niacinamide,Beauty,1,99000,0.0,133000.0,Bandung,New,Paid Social
TXN00026,2023-01-27,CUST04520,Zara Blazer Set,Fashion,1,1199000,0.0,784000.0,Jakarta,New,Paid Social
TXN00027,2023-01-05,CUST01045,Tupperware Set,Home & Living,1,349000,0.2,182000.0,Medan,New,Organic
TXN00028,2023-01-21,CUST01940,Apple AirPods Pro,Electronics,2,3799000,0.0,4966000.0,Jakarta,New,Marketplace
TXN00029,2023-07-31,CUST00318,Somethinc Niacinamide,Beauty,1,99000,0.1,120000.0,Jakarta,Loyal,Paid Social
TXN00030,2023-04-13,CUST02283,Philips Air Fryer,Home & Living,2,1499000,0.0,3598000.0,Jakarta,Regular,Paid Social
