transaction_id,date,customer_id,product_name,category,quantity,base_price,discount_pct,revenue,city,customer_segment,channel,year,month,month_name,quarter,day_of_week,is_weekend,margin_est
TXN00001,2023-05-21,CUST01906,Nike Air Max 270,Fashion,1,1800000,0.0,2424000.0,Jakarta,Regular,Organic,2023,5,May,2,Sunday,True,606000.0
TXN00004,2023-02-10,CUST02371,Logitech MX Keys,Electronics,1,1350000,0.1,972000.0,Bandung,Loyal,Paid Social,2023,2,Feb,1,Friday,False,243000.0
TXN00005,2023-02-21,CUST00585,Somethinc Niacinamide,Beauty,1,99000,0.0,79000.0,Semarang,New,Email,2023,2,Feb,1,Tuesday,False,19750.0
TXN00006,2023-10-01,CUST01877,Uniqlo Heattech L,Fashion,2,299000,0.0,478000.0,Surabaya,Loyal,Paid Social,2023,10,Oct,4,Sunday,True,119500.0
TXN00007,2023-07-25,CUST03759,IKEA Billy Shelf,Home & Living,1,799000,0.0,1076000.0,Yogyakarta,Loyal,Email,2023,7,Jul,3,Tuesday,False,269000.0
TXN00009,2023-02-26,CUST04533,Xiaomi Redmi 12,Electronics,1,2199000,0.0,1759000.0,Medan,Regular,Marketplace,2023,2,Feb,1,Sunday,True,439750.0
TXN00010,2023-12-15,CUST02158,Skintific SPF 50+,Beauty,2,129000,0.05,147000.0,Bandung,New,Email,2023,12,Dec,4,Friday,False,36750.0
TXN00011,2023-09-17,CUST04345,Somethinc Niacinamide,Beauty,3,99000,0.1,267000.0,Jakarta,Regular,Paid Social,2023,9,Sep,3,Sunday,True,66750.0
TXN00012,2023-06-15,CUST00646,Emina BB Cream,Beauty,1,75000,0.0,105000.0,Surabaya,Loyal,Email,2023,6,Jun,2,Thursday,False,26250.0
TXN00013,2023-02-05,CUST01736,Logitech MX Keys,Electronics,3,1350000,0.05,3078000.0,Jakarta,Regular,Paid Social,2023,2,Feb,1,Sunday,True,769500.0
TXN00014,2023-06-09,CUST04820,Somethinc Niacinamide,Beauty,1,99000,0.05,132000.0,Surabaya,Loyal,Marketplace,2023,6,Jun,2,Friday,False,33000.0
TXN00015,2023-04-23,CUST03977,H&M Linen Shirt,Fashion,1,249000,0.1,269000.0,Jakarta,New,Organic,2023,4,Apr,2,Sunday,True,67250.0
TXN00016,2023-10-20,CUST03826,Samsung QLED 55in,Electronics,1,8999000,0.0,7199000.0,Surabaya,Occasional,Organic,2023,10,Oct,4,Friday,False,1799750.0
TXN00017,2023-12-11,CUST03457,Skintific SPF 50+,Beauty,1,129000,0.05,74000.0,Jakarta,Regular,Organic,2023,12,Dec,4,Monday,False,18500.0
TXN00018,2023-05-08,CUST00765,Logitech MX Keys,Electronics,2,1350000,0.0,3635000.0,Semarang,Loyal,Organic,2023,5,May,2,Monday,False,908750.0
TXN00019,2023-03-27,CUST03728,Somethinc Niacinamide,Beauty,1,99000,0.0,99000.0,Makassar,Loyal,Paid Social,2023,3,Mar,1,Monday,False,24750.0
TXN00020,2023-12-05,CUST04120,JBL Flip 6,Electronics,2,1199000,0.0,1439000.0,Jakarta,Loyal,Organic,2023,12,Dec,4,Tuesday,False,359750.0
TXN00021,2023-03-22,CUST04667,Emina BB Cream,Beauty,1,75000,0.05,71000.0,Makassar,New,Organic,2023,3,Mar,1,Wednesday,False,17750.0
TXN00022,2023-01-21,CUST03243,JBL Flip 6,Electronics,1,1199000,0.0,784000.0,Bandung,Occasional,Email,2023,1,Jan,1,Saturday,True,196000.0
TXN00023,2023-08-23,CUST02860,Apple AirPods Pro,Electronics,1,3799000,0.1,4103000.0,Jakarta,Occasional,Organic,2023,8,Aug,3,Wednesday,False,1025750.0
TXN00024,2023-07-09,CUST00849,Somethinc Niacinamide,Beauty,1,99000,0.0,133000.0,Bandung,Occasional,Organic,2023,7,Jul,3,Sunday,True,33250.0
TXN00025,2023-05-16,CUST02163,Somethinc Niacinamide,Beauty,1,99000,0.0,133000.0,Bandung,New,Paid Social,2023,5,May,2,Tuesday,False,33250.0
TXN00026,2023-01-27,CUST04520,Zara Blazer Set,Fashion,1,1199000,0.0,784000.0,Jakarta,New,Paid Social,2023,1,Jan,1,Friday,False,196000.0
TXN00027,2023-01-05,CUST01045,Tupperware Set,Home & Living,1,349000,0.2,182000.0,Medan,New,Organic,2023,1,Jan,1,Thursday,False,45500.0
TXN00028,2023-01-21,CUST01940,Apple AirPods Pro,Electronics,2,3799000,0.0,4966000.0,Jakarta,New,Marketplace,2023,1,Jan,1,Saturday,True,1241500.0
TXN00029,2023-07-31,CUST00318,Somethinc Niacinamide,Beauty,1,99000,0.1,120000.0,Jakarta,Loyal,Paid Social,2023,7,Jul,3,Monday,False,30000.0
